WKT,objectid,facilityid,accountid,metservice,servicetype,installdate,locdesc,rotation,locationid,critical,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,ResourceID
POINT (-122.418019527827 37.8095804206521),50,,,,SWSC,,,,,,1,,1,,2010-12-02T00:00:00.000,JS,{657DA942-2B48-4DEF-BC73-81F89D6E5AF8}, ,301-2.tif,INACT,657DA942-2B48-4DEF-BC73-81F89D6E5AF8
POINT (-122.383549034574 37.7698334376583),51,,,,SWSC,,,,,,1,,1,,2011-03-08T00:00:00.000,JS,{D5D42CCE-E423-49E7-BB2B-2D7AE50DC021}, ,00104028+4029,ACT,D5D42CCE-E423-49E7-BB2B-2D7AE50DC021
POINT (-122.396544411935 37.7985562074365),52,,,,METER,,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{F26BA947-5256-4230-8BE8-9CDCCAE2A8F2},PER DAVE R.; PORT PLUMBER PER DAVE R.; PORT PLUMBER,,ACT,F26BA947-5256-4230-8BE8-9CDCCAE2A8F2
POINT (-122.395851627259 37.801292001894),53,,,,METER,,,,,,1,,1,,2011-03-08T00:00:00.000,JS,{093D9F26-315E-421A-842B-0040151804C3}, LOC PER DAVE R. PORT PLUMBER,,ACT,093D9F26-315E-421A-842B-0040151804C3
POINT (-122.394288359109 37.8001088597442),54,,,,HOSEBIB,,,,,,1,,1,,2011-02-11T00:00:00.000,JS,{7BD8A90F-EF48-4061-9C48-A5846F9BC9F8}, ,,INACT,7BD8A90F-EF48-4061-9C48-A5846F9BC9F8
POINT (-122.399854200925 37.8033046984478),55,,,,SWSC,,,,,,1,,1,,,,{70868FE2-1477-450F-AB68-1FE2EAD8D843}, ,,UNK,70868FE2-1477-450F-AB68-1FE2EAD8D843
POINT (-122.382047590487 37.7470700192505),56,,,,SWSC,,,,,,1,,1,,2011-02-14T00:00:00.000,JS,{C6546457-B3A8-444E-B83B-B9FA4E59D047}, ,,INACT,C6546457-B3A8-444E-B83B-B9FA4E59D047
POINT (-122.410413305065 37.811411958144),57,,,,SWSC,,,,,,1,,1,,2011-02-16T00:00:00.000,JS,{EA6F579B-7945-40CD-AA02-FBD379332AC4}, URI INSP ONLY SOURCE,,ACT,EA6F579B-7945-40CD-AA02-FBD379332AC4
POINT (-122.410406386987 37.8113993712563),58,,,,SWSC,,,,,,1,,1,,2011-02-16T00:00:00.000,JS,{7FB311C6-4642-427C-AB46-3F83023FB453}, URI INSP ONLY SOURCE,,ACT,7FB311C6-4642-427C-AB46-3F83023FB453
POINT (-122.414949626014 37.8093073208179),59,,,,SWSC,,,,,,1,,1,,2011-03-03T00:00:00.000,JS,{D2CFFCE2-E07E-495C-9B08-1159029E7F0A}, LOCATION ASSUMED BY PORT PLUMBER DAVE RAUENBUHLER,,ACT,D2CFFCE2-E07E-495C-9B08-1159029E7F0A
POINT (-122.418073523406 37.8109598088128),60,,,,SWSC,,,,,,1,,1,,2011-03-04T00:00:00.000,JS,{06E8B3D5-B5C4-41B2-9C27-E1AF8DA2757D}, LOCATION PER PORT PLUMBER DAVE RAUENBUHLER,,ACT,06E8B3D5-B5C4-41B2-9C27-E1AF8DA2757D
POINT (-122.399665716883 37.8027720733293),61,,,,SWSC,,,,,,1,,1,,,,{B805227E-FA24-41E3-A24E-AB15C533CFB0}, ,P19-Water&Power.pdf,UNK,B805227E-FA24-41E3-A24E-AB15C533CFB0
POINT (-122.398300736769 37.8030265160824),62,,,,SWSC,,,,,,1,,1,,,,{5E17C426-4F31-4A04-904D-A924163670D0}, ,P19-Water&Power.pdf,UNK,5E17C426-4F31-4A04-904D-A924163670D0
POINT (-122.397771126008 37.8033232616379),63,,,,SWSC,,,,,,1,,1,,,,{E3AECD01-51E2-4853-981C-85523AC74C1A}, ,P19-Water&Power.pdf,UNK,E3AECD01-51E2-4853-981C-85523AC74C1A
POINT (-122.385187032249 37.7893481287851),64,,,,SWSC,1937-07-01T00:00:00.000,,,,,1,,1,,2010-12-01T00:00:00.000,JS,{B76C97C4-5670-44B3-AB23-85C23AC1805F}, FIRE BOAT CONNECTION,,ACT,B76C97C4-5670-44B3-AB23-85C23AC1805F
POINT (-122.416334937642 37.8085211707333),65,,,,HOSEBIB,,,,,,1,,1,,,,{4854B46E-27D1-4D5C-AD2F-D92A55711613},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,4854B46E-27D1-4D5C-AD2F-D92A55711613
